N,rho,rho_uniform,improvement_over_uniform,search_seconds,objective_evaluations,start_count,candidate_count,best_source,output_normalization,search_gauge_min_gap,output_scale_from_search_gauge,lambda_span,lambda_final,rescaling_spectral_radius_error,min_gap,max_gap,gap_ratio,min_gap_count,min_gap_first_1_based,min_gap_last_1_based,gap_run_count,gap_pattern,reversal_error,inward_nonincreasing,max_coordinate_perturbation_gain,max_random_perturbation_gain,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21,gap_22,gap_23,gap_24,gap_25,gap_26,gap_27,gap_28,gap_29,gap_30,gap_31,gap_32,gap_33,gap_34,gap_35,gap_36,gap_37,gap_38,gap_39,gap_40,gap_41,gap_42,gap_43,gap_44,gap_45,gap_46,gap_47,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48
33,2.906338642528675,2.902335427632206,0.004003214896469487,11.377724783,18722,38,96,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.7099334268283942,1.408582780032586,45.07464896104275,46.07464896104275,2.220446e-15,1,7.537324480525162,7.537324480525162,30,2,31,3,7.537324481^1 | 1^30 | 7.537324481^1,5.376048e-12,True,-1.310063e-13,-2.217782e-05,7.537324480525162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.537324480517589,,,,,,,,,,,,,,,,1,8.537324480525161,9.537324480525161,10.53732448052516,11.53732448052516,12.53732448052516,13.53732448052516,14.53732448052516,15.53732448052516,16.53732448052516,17.53732448052516,18.53732448052516,19.53732448052516,20.53732448052516,21.53732448052516,22.53732448052516,23.53732448052516,24.53732448052516,25.53732448052516,26.53732448052516,27.53732448052516,28.53732448052516,29.53732448052516,30.53732448052516,31.53732448052516,32.53732448052516,33.53732448052516,34.53732448052516,35.53732448052516,36.53732448052516,37.53732448052516,38.53732448052516,46.07464896104275,,,,,,,,,,,,,,,
34,2.912596720867177,2.90848111638906,0.004115604478116541,11.676572024,19236,38,97,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.7065039119902269,1.415420329638363,46.70887087806598,47.70887087806598,2.220446e-15,1,7.854435439033357,7.854435439033357,31,2,32,3,7.854435439^1 | 1^31 | 7.854435439^1,5.170613e-13,True,-1.270095e-13,-2.357787e-05,7.854435439033357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.854435439032625,,,,,,,,,,,,,,,1,8.854435439033356,9.854435439033356,10.85443543903336,11.85443543903336,12.85443543903336,13.85443543903336,14.85443543903336,15.85443543903336,16.85443543903336,17.85443543903336,18.85443543903336,19.85443543903336,20.85443543903336,21.85443543903336,22.85443543903336,23.85443543903336,24.85443543903336,25.85443543903336,26.85443543903336,27.85443543903336,28.85443543903336,29.85443543903336,30.85443543903336,31.85443543903336,32.85443543903335,33.85443543903335,34.85443543903335,35.85443543903335,36.85443543903335,37.85443543903335,38.85443543903335,39.85443543903335,47.70887087806598,,,,,,,,,,,,,,
35,2.918555091204003,2.914303514642516,0.004251576561487003,12.668923830,19982,38,96,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.6374650579487015,1.568713433827886,53.33625675014812,54.33625675014812,8.881784e-16,1,5.834064187540492,5.834064187540492,30,3,32,3,5.834064188^2 | 1^30 | 5.834064188^2,4.411696e-12,True,-4.612051e-09,-2.308822e-05,5.834064187533571,5.834064187533571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.834064187540492,5.834064187540492,,,,,,,,,,,,,,1,6.834064187533571,12.66812837506714,13.66812837506714,14.66812837506714,15.66812837506714,16.66812837506714,17.66812837506714,18.66812837506714,19.66812837506714,20.66812837506714,21.66812837506714,22.66812837506714,23.66812837506714,24.66812837506714,25.66812837506714,26.66812837506714,27.66812837506714,28.66812837506714,29.66812837506714,30.66812837506714,31.66812837506714,32.66812837506714,33.66812837506714,34.66812837506714,35.66812837506714,36.66812837506714,37.66812837506714,38.66812837506714,39.66812837506714,40.66812837506714,41.66812837506714,42.66812837506714,48.50219256260763,54.33625675014812,,,,,,,,,,,,,
36,2.924351435852302,2.919827916564685,0.004523519287617184,10.559916158,13926,38,95,run_refine_tol0.008_Q3:stationary,min(gap)=1,0.6318670597287778,1.582611380990868,55.39139833468036,56.39139833468036,3.108624e-15,1,6.09784958369857,6.09784958369857,31,3,33,3,6.097849584^2 | 1^31 | 6.097849584^2,3.598820e-11,True,-4.390398e-09,-2.077977e-05,6.09784958369857,6.09784958369857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.097849583641614,6.097849583641614,,,,,,,,,,,,,1,7.09784958369857,13.19569916739714,14.19569916739714,15.19569916739714,16.19569916739714,17.19569916739714,18.19569916739714,19.19569916739714,20.19569916739714,21.19569916739714,22.19569916739714,23.19569916739714,24.19569916739714,25.19569916739714,26.19569916739714,27.19569916739714,28.19569916739714,29.19569916739714,30.19569916739714,31.19569916739714,32.19569916739714,33.19569916739714,34.19569916739714,35.19569916739714,36.19569916739714,37.19569916739714,38.19569916739714,39.19569916739714,40.19569916739714,41.19569916739714,42.19569916739714,43.19569916739714,44.19569916739714,50.29354875103875,56.39139833468036,,,,,,,,,,,,
37,2.929841855101604,2.925077021561542,0.004764833540062074,11.891818327,17889,38,96,run_refine_tol0.008_Q3:stationary,min(gap)=1,0.626739424249753,1.595559432370261,57.44013956532939,58.44013956532939,2.220446e-15,1,6.360034891333095,6.360034891333095,32,3,34,3,6.360034891^2 | 1^32 | 6.360034891^2,9.368528e-13,True,-4.187182e-09,-1.553396e-05,6.360034891333095,6.360034891333095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.3600348913316,6.3600348913316,,,,,,,,,,,,1,7.360034891333095,13.72006978266619,14.72006978266619,15.72006978266619,16.72006978266619,17.72006978266619,18.72006978266619,19.72006978266619,20.72006978266619,21.72006978266619,22.72006978266619,23.72006978266619,24.72006978266619,25.72006978266619,26.72006978266619,27.72006978266619,28.72006978266619,29.72006978266619,30.72006978266619,31.72006978266619,32.72006978266619,33.72006978266619,34.72006978266619,35.72006978266619,36.72006978266619,37.72006978266619,38.72006978266619,39.72006978266619,40.72006978266619,41.72006978266619,42.72006978266619,43.72006978266619,44.72006978266619,45.72006978266619,52.08010467399779,58.44013956532939,,,,,,,,,,,
38,2.93505002131637,2.930071260443756,0.004978760872614174,14.369133734,20861,38,94,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.6220213556869539,1.607661844496658,59.48348824637634,60.48348824637634,0.000000e+00,1,6.620872061594116,6.620872061594116,33,3,35,3,6.620872062^2 | 1^33 | 6.620872062^2,3.646275e-14,True,-4.000432e-09,-2.028846e-05,6.620872061594057,6.620872061594057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.620872061594116,6.620872061594116,,,,,,,,,,,1,7.620872061594057,14.24174412318811,15.24174412318811,16.24174412318811,17.24174412318811,18.24174412318811,19.24174412318811,20.24174412318811,21.24174412318811,22.24174412318811,23.24174412318811,24.24174412318811,25.24174412318811,26.24174412318811,27.24174412318811,28.24174412318811,29.24174412318811,30.24174412318811,31.24174412318811,32.24174412318811,33.24174412318811,34.24174412318811,35.24174412318811,36.24174412318811,37.24174412318811,38.24174412318811,39.24174412318811,40.24174412318811,41.24174412318811,42.24174412318811,43.24174412318811,44.24174412318811,45.24174412318811,46.24174412318811,47.24174412318811,53.86261618478223,60.48348824637634,,,,,,,,,,
39,2.939997257189248,2.934829073429305,0.005168183759943545,9.506182976,12047,38,97,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.6176627262152453,1.619006550917428,61.52224893486228,62.52224893486228,6.661338e-15,1,6.880562233773908,6.880562233773908,34,3,36,3,6.880562234^2 | 1^34 | 6.880562234^2,7.206889e-11,True,-3.828422e-09,-2.047319e-05,6.880562233773908,6.880562233773908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.880562233657228,6.880562233657228,,,,,,,,,,1,7.880562233773908,14.76112446754782,15.76112446754782,16.76112446754782,17.76112446754782,18.76112446754782,19.76112446754782,20.76112446754782,21.76112446754782,22.76112446754782,23.76112446754782,24.76112446754782,25.76112446754782,26.76112446754782,27.76112446754782,28.76112446754782,29.76112446754782,30.76112446754782,31.76112446754782,32.76112446754782,33.76112446754782,34.76112446754782,35.76112446754782,36.76112446754782,37.76112446754782,38.76112446754782,39.76112446754782,40.76112446754782,41.76112446754782,42.76112446754782,43.76112446754782,44.76112446754782,45.76112446754782,46.76112446754782,47.76112446754782,48.76112446754782,55.64168670120505,62.52224893486228,,,,,,,,,
40,2.944702811723272,2.939367148098302,0.005335663624969289,10.348384242,15579,38,97,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.6136217145484737,1.629668534034586,63.55707282734886,64.55707282734886,4.440892e-15,1,7.139268206865742,7.139268206865742,35,3,37,3,7.139268207^2 | 1^35 | 7.139268207^2,3.501061e-11,True,-3.669645e-09,-1.928859e-05,7.139268206808686,7.139268206808686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.139268206865742,7.139268206865742,,,,,,,,,1,8.139268206808687,15.27853641361737,16.27853641361737,17.27853641361737,18.27853641361737,19.27853641361737,20.27853641361737,21.27853641361737,22.27853641361737,23.27853641361737,24.27853641361737,25.27853641361737,26.27853641361737,27.27853641361737,28.27853641361737,29.27853641361737,30.27853641361737,31.27853641361737,32.27853641361737,33.27853641361737,34.27853641361737,35.27853641361737,36.27853641361737,37.27853641361737,38.27853641361737,39.27853641361737,40.27853641361737,41.27853641361737,42.27853641361737,43.27853641361737,44.27853641361737,45.27853641361737,46.27853641361737,47.27853641361737,48.27853641361737,49.27853641361737,50.27853641361737,57.41780462048312,64.55707282734886,,,,,,,,
41,2.949184100391463,2.943700623889774,0.005483476501689566,9.928192513,12104,38,94,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.6098630716208651,1.639712333036082,65.58849332144329,66.58849332144329,1.776357e-15,1,7.397123330361638,7.397123330361638,36,3,38,3,7.39712333^2 | 1^36 | 7.39712333^2,9.923343e-13,True,-3.522735e-09,-2.079381e-05,7.397123330361638,7.397123330361638,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.397123330360011,7.397123330360011,,,,,,,,1,8.397123330361637,15.79424666072328,16.79424666072327,17.79424666072327,18.79424666072327,19.79424666072327,20.79424666072327,21.79424666072327,22.79424666072327,23.79424666072327,24.79424666072327,25.79424666072327,26.79424666072327,27.79424666072327,28.79424666072327,29.79424666072327,30.79424666072327,31.79424666072327,32.79424666072327,33.79424666072327,34.79424666072327,35.79424666072327,36.79424666072327,37.79424666072327,38.79424666072327,39.79424666072327,40.79424666072327,41.79424666072327,42.79424666072327,43.79424666072327,44.79424666072327,45.79424666072327,46.79424666072327,47.79424666072327,48.79424666072327,49.79424666072327,50.79424666072327,51.79424666072327,59.19136999108328,66.58849332144329,,,,,,,
42,2.953456914154749,2.947843268517038,0.005613645637710718,9.505479184,11433,38,97,run_refine_tol0.008_Q3:stationary,min(gap)=1,0.6063568205499373,1.649193950012876,67.61695195052793,68.61695195052793,4.440892e-16,1,7.654237987633548,7.654237987633548,37,3,39,3,7.654237988^2 | 1^37 | 7.654237988^2,1.897861e-12,True,-3.386543e-09,-1.783746e-05,7.654237987630419,7.654237987630419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.654237987633548,7.654237987633548,,,,,,,1,8.654237987630419,16.30847597526084,17.30847597526084,18.30847597526084,19.30847597526084,20.30847597526084,21.30847597526084,22.30847597526084,23.30847597526084,24.30847597526084,25.30847597526084,26.30847597526084,27.30847597526084,28.30847597526084,29.30847597526084,30.30847597526084,31.30847597526084,32.30847597526083,33.30847597526083,34.30847597526083,35.30847597526083,36.30847597526083,37.30847597526083,38.30847597526083,39.30847597526083,40.30847597526083,41.30847597526083,42.30847597526083,43.30847597526083,44.30847597526083,45.30847597526083,46.30847597526083,47.30847597526083,48.30847597526083,49.30847597526083,50.30847597526083,51.30847597526083,52.30847597526083,53.30847597526083,60.96271396289438,68.61695195052793,,,,,,
43,2.957535601544917,2.951807630711223,0.005727970833694584,9.979555854,14592,38,98,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.6030772654418695,1.658162323972383,69.64281760684008,70.64281760684008,4.440892e-15,1,7.910704401720124,7.910704401720124,38,3,40,3,7.910704402^2 | 1^38 | 7.910704402^2,1.218421e-11,True,-3.260031e-09,-2.015732e-05,7.91070440169992,7.91070440169992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.910704401720124,7.910704401720124,,,,,,1,8.91070440169992,16.82140880339984,17.82140880339984,18.82140880339984,19.82140880339984,20.82140880339984,21.82140880339984,22.82140880339984,23.82140880339984,24.82140880339984,25.82140880339984,26.82140880339984,27.82140880339984,28.82140880339984,29.82140880339984,30.82140880339984,31.82140880339984,32.82140880339984,33.82140880339984,34.82140880339984,35.82140880339984,36.82140880339984,37.82140880339984,38.82140880339984,39.82140880339984,40.82140880339984,41.82140880339984,42.82140880339984,43.82140880339984,44.82140880339984,45.82140880339984,46.82140880339984,47.82140880339984,48.82140880339984,49.82140880339984,50.82140880339984,51.82140880339984,52.82140880339984,53.82140880339984,54.82140880339984,62.73211320511997,70.64281760684008,,,,,
44,2.961460249171716,2.955605172926971,0.005855076244745128,9.111147938,11361,38,97,run_refine_tol0.02_Q5:stationary,min(gap)=1,0.4756047960783515,2.102586029925693,90.41119928680482,91.41119928680482,6.217249e-15,1,16.88129293052702,16.88129293052702,37,4,40,5,16.88129293^1 | 4.912153356^2 | 1^37 | 4.912153356^2 | 16.88129293^1,9.141379e-11,True,-7.105427e-14,-2.089330e-05,16.88129293033481,4.912153356475524,4.912153356475524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.912153356495963,4.912153356495963,16.88129293052702,,,,,1,17.88129293033481,22.79344628681034,27.70559964328586,28.70559964328586,29.70559964328586,30.70559964328586,31.70559964328586,32.70559964328586,33.70559964328586,34.70559964328586,35.70559964328586,36.70559964328586,37.70559964328586,38.70559964328586,39.70559964328586,40.70559964328586,41.70559964328586,42.70559964328586,43.70559964328586,44.70559964328586,45.70559964328586,46.70559964328586,47.70559964328586,48.70559964328586,49.70559964328586,50.70559964328586,51.70559964328586,52.70559964328586,53.70559964328586,54.70559964328586,55.70559964328586,56.70559964328586,57.70559964328586,58.70559964328586,59.70559964328586,60.70559964328586,61.70559964328586,62.70559964328586,63.70559964328586,64.70559964328586,69.61775299978183,74.52990635627779,91.41119928680482,,,,
45,2.965289635902908,2.959246387019288,0.006043248883619956,8.908979829,11546,38,97,run_refine_tol0.008_Q5:stationary,min(gap)=1,0.4713052101611241,2.121767335561879,93.35776276472269,94.35776276472269,5.329071e-15,1,17.45038159646415,17.45038159646415,38,4,41,5,17.4503816^1 | 5.114249893^2 | 1^38 | 5.114249893^2 | 17.4503816^1,9.423593e-12,True,-6.572520e-14,-2.145713e-05,17.45038159646415,5.114249892955183,5.114249892955183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.114249892952005,5.114249892952005,17.45038159644416,,,,1,18.45038159646415,23.56463148941934,28.67888138237452,29.67888138237452,30.67888138237452,31.67888138237452,32.67888138237452,33.67888138237452,34.67888138237452,35.67888138237452,36.67888138237452,37.67888138237452,38.67888138237452,39.67888138237452,40.67888138237452,41.67888138237452,42.67888138237452,43.67888138237452,44.67888138237452,45.67888138237452,46.67888138237452,47.67888138237452,48.67888138237452,49.67888138237452,50.67888138237452,51.67888138237452,52.67888138237452,53.67888138237452,54.67888138237452,55.67888138237452,56.67888138237452,57.67888138237452,58.67888138237452,59.67888138237452,60.67888138237452,61.67888138237452,62.67888138237452,63.67888138237452,64.67888138237453,65.67888138237453,66.67888138237453,71.79313127532653,76.90738116827853,94.35776276472269,,,
46,2.968953447482414,2.962740895393968,0.006212552088446177,11.551326070,15879,38,99,run_refine_tol0.02_Q5:stationary,min(gap)=1,0.4673334942970166,2.139799548295257,96.29097967328659,97.29097967328659,4.884981e-15,1,18.01714958203911,18.01714958203911,39,4,42,5,18.01714958^1 | 5.314170127^2 | 1^39 | 5.314170128^2 | 18.01714958^1,4.204051e-10,True,-5.950795e-14,-1.928279e-05,18.01714958113953,5.314170127475896,5.314170127475896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.314170127578073,5.314170127578073,18.01714958203911,,,1,19.01714958113953,24.33131970861542,29.64548983609132,30.64548983609132,31.64548983609132,32.64548983609132,33.64548983609132,34.64548983609132,35.64548983609132,36.64548983609132,37.64548983609132,38.64548983609132,39.64548983609132,40.64548983609132,41.64548983609132,42.64548983609132,43.64548983609132,44.64548983609132,45.64548983609132,46.64548983609132,47.64548983609132,48.64548983609132,49.64548983609132,50.64548983609132,51.64548983609132,52.64548983609132,53.64548983609132,54.64548983609132,55.64548983609132,56.64548983609132,57.64548983609132,58.64548983609132,59.64548983609132,60.64548983609132,61.64548983609132,62.64548983609132,63.64548983609132,64.64548983609131,65.64548983609131,66.64548983609131,67.64548983609131,68.64548983609131,73.9596599636694,79.27383009124748,97.29097967328659,,
47,2.972462152217869,2.9660975397216,0.006364612496269295,11.901253928,15357,38,97,run_refine_tol0.02_Q5:stationary,min(gap)=1,0.4636486491009089,2.156805593932313,99.21305732088634,100.2130573208863,9.769963e-15,1,18.58198262558408,18.58198262558408,40,4,43,5,18.58198263^1 | 5.512273017^2 | 1^40 | 5.512273017^2 | 18.58198263^1,4.708223e-11,True,-5.773160e-14,-1.919714e-05,18.58198262548253,5.512273017448726,5.512273017448726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.512273017461139,5.512273017461139,18.58198262558408,,1,19.58198262548253,25.09425564293126,30.60652866037999,31.60652866037999,32.60652866037999,33.60652866037999,34.60652866037999,35.60652866037999,36.60652866037999,37.60652866037999,38.60652866037999,39.60652866037999,40.60652866037999,41.60652866037999,42.60652866037999,43.60652866037999,44.60652866037999,45.60652866037999,46.60652866037999,47.60652866037999,48.60652866037999,49.60652866037999,50.60652866037999,51.60652866037999,52.60652866037999,53.60652866037999,54.60652866037999,55.60652866037999,56.60652866037999,57.60652866037999,58.60652866037999,59.60652866037999,60.60652866037999,61.60652866037999,62.60652866037999,63.60652866037999,64.60652866037998,65.60652866037998,66.60652866037998,67.60652866037998,68.60652866037998,69.60652866037998,70.60652866037998,76.11880167784112,81.63107469530226,100.2130573208863,
48,2.975825380668484,2.969324458967788,0.006500921700696605,9.750351317,11580,38,98,run_refine_tol0.008_Q5:stationary,min(gap)=1,0.4602170594908673,2.172887726296561,102.1257231359384,103.1257231359384,1.021405e-14,1,19.14517911239204,19.14517911239204,41,4,44,5,19.14517911^1 | 5.708841228^2 | 1^41 | 5.708841228^2 | 19.14517911^1,5.683164e-11,True,-6.306067e-14,-1.981779e-05,19.14517911239204,5.708841227797625,5.708841227797625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.708841227841283,5.708841227841283,19.14517911226855,1,20.14517911239204,25.85402034018966,31.56286156798728,32.56286156798728,33.56286156798728,34.56286156798728,35.56286156798728,36.56286156798728,37.56286156798728,38.56286156798728,39.56286156798728,40.56286156798728,41.56286156798728,42.56286156798728,43.56286156798728,44.56286156798728,45.56286156798728,46.56286156798728,47.56286156798728,48.56286156798728,49.56286156798728,50.56286156798728,51.56286156798728,52.56286156798728,53.56286156798728,54.56286156798728,55.56286156798728,56.56286156798728,57.56286156798728,58.56286156798728,59.56286156798728,60.56286156798728,61.56286156798728,62.56286156798728,63.56286156798728,64.56286156798728,65.56286156798728,66.56286156798728,67.56286156798728,68.56286156798728,69.56286156798728,70.56286156798728,71.56286156798728,72.56286156798728,78.27170279582856,83.98054402366984,103.1257231359384
