N,rho,rho_uniform,improvement_over_uniform,search_seconds,objective_evaluations,start_count,candidate_count,best_source,output_normalization,search_gauge_min_gap,output_scale_from_search_gauge,lambda_span,lambda_final,rescaling_spectral_radius_error,min_gap,max_gap,gap_ratio,min_gap_count,min_gap_first_1_based,min_gap_last_1_based,gap_run_count,gap_pattern,reversal_error,inward_nonincreasing,max_coordinate_perturbation_gain,max_random_perturbation_gain,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21,gap_22,gap_23,gap_24,gap_25,gap_26,gap_27,gap_28,gap_29,gap_30,gap_31,gap_32,gap_33,gap_34,gap_35,gap_36,gap_37,gap_38,gap_39,gap_40,gap_41,gap_42,gap_43,gap_44,gap_45,gap_46,gap_47,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48
13,2.611811445546682,2.611811445546682,0,5.635399003,11797,37,96,raw:uniform,min(gap)=1,1,1,12,13,0.000000e+00,1,1,1,12,1,12,1,1^12,0.000000e+00,True,-1.149592e-07,-2.298299e-05,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2.643547546199519,2.643547546199519,0,6.000760174,12545,37,95,raw:uniform,min(gap)=1,1,1,13,14,0.000000e+00,1,1,1,13,1,13,1,1^13,0.000000e+00,True,-9.126443e-08,-2.931071e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2.671508105468008,2.671508105468008,0,6.216014757,12494,37,96,raw:uniform,min(gap)=1,1,1,14,15,0.000000e+00,1,1,1,14,1,14,1,1^14,0.000000e+00,True,-7.308851e-08,-2.489376e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2.696340284673577,2.696340284673577,0,7.918737259,15184,37,95,raw:uniform,min(gap)=1,1,1,15,16,0.000000e+00,1,1,1,15,1,15,1,1^15,0.000000e+00,True,-5.895606e-08,-2.074213e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.718550123424645,2.718550123424645,4.440892098500626e-16,7.482102110,13649,37,97,exact:raw:uniform,min(gap)=1,1,1,16,17,0.000000e+00,1,1,1,16,1,16,1,1^16,2.220446e-16,True,-4.783544e-08,-3.190008e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4.000000000000001,5.000000000000001,6.000000000000001,7.000000000000001,8,9,10,11,12,13,14,15,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.738539200448717,2.738539200448717,0,7.244787978,13908,37,97,raw:uniform,min(gap)=1,1,1,17,18,0.000000e+00,1,1,1,17,1,17,1,1^17,0.000000e+00,True,-3.899147e-08,-2.546157e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.756630395513281,2.756630395513281,0,7.618160603,12322,37,96,exact:raw:uniform,min(gap)=1,0.999999999999999,1.000000000000001,18.00000000000002,19.00000000000002,8.881784e-16,1,1.000000000000005,1.000000000000005,18,1,18,1,1^18,3.108624e-15,True,-3.189133e-08,-2.620886e-05,1.000000000000005,1.000000000000002,1.000000000000002,1.000000000000002,1.000000000000001,1.000000000000001,1,1,1,1,1,1,1.000000000000001,1.000000000000001,1.000000000000002,1.000000000000002,1.000000000000002,1.000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.000000000000004,3.000000000000007,4.000000000000009,5.000000000000011,6.000000000000012,7.000000000000012,8.000000000000012,9.000000000000012,10.00000000000001,11.00000000000001,12.00000000000001,13.00000000000001,14.00000000000001,15.00000000000001,16.00000000000001,17.00000000000002,18.00000000000002,19.00000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2.773086362018684,2.773086362018684,0,7.401228406,12367,37,97,raw:uniform,min(gap)=1,1,1,19,20,0.000000e+00,1,1,1,19,1,19,1,1^19,0.000000e+00,True,-2.614288e-08,-2.861279e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2.78816403424379,2.788123013295496,4.102094829461223e-05,7.433124407,14080,37,98,run_refine_tol0.008_Q3:stationary,min(gap)=1,0.8018259366901052,1.247153470899117,24.94306941798234,25.94306941798234,2.220446e-15,1,3.471534708996425,3.471534708996425,18,2,19,3,3.471534709^1 | 1^18 | 3.471534709^1,8.429179e-12,True,-1.270095e-13,-2.539507e-05,3.471534708996425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.471534708985912,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.471534708996424,5.471534708996424,6.471534708996424,7.471534708996424,8.471534708996424,9.471534708996424,10.47153470899642,11.47153470899642,12.47153470899642,13.47153470899642,14.47153470899642,15.47153470899642,16.47153470899642,17.47153470899642,18.47153470899642,19.47153470899642,20.47153470899642,21.47153470899642,22.47153470899642,25.94306941798234,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2.802593648397908,2.801919528693746,0.0006741197041617575,9.985324590,21074,38,98,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.7857446559424346,1.272678079878996,26.72623967745892,27.72623967745892,1.332268e-15,1,3.863119838729936,3.863119838729936,19,2,20,3,3.863119839^1 | 1^19 | 3.863119839^1,7.456863e-13,True,-1.421085e-13,-2.315600e-05,3.863119838728987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.863119838729936,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.863119838728987,5.863119838728987,6.863119838728987,7.863119838728987,8.863119838728988,9.863119838728988,10.86311983872899,11.86311983872899,12.86311983872899,13.86311983872899,14.86311983872899,15.86311983872899,16.86311983872899,17.86311983872899,18.86311983872899,19.86311983872899,20.86311983872899,21.86311983872899,22.86311983872899,23.86311983872899,27.72623967745892,,,,,,,,,,,,,,,,,,,,,,,,,,
