data_subset,N_min,N_values,point_count,C,a,p,rmse,max_abs_residual
all_candidates,800,"800,1000,1700,3000,5000,8000,12000,20000,50000",9,3.1430865399278547,3.628448780660988,0.8711852657445694,4.4553016802775295e-05,6.63133021796547e-05
all_candidates,1000,"1000,1700,3000,5000,8000,12000,20000,50000",8,3.143133080654744,3.121695350080716,0.8499677717160441,2.8629470719869628e-05,6.107150575296316e-05
all_candidates,1700,"1700,3000,5000,8000,12000,20000,50000",7,3.14320483388365,2.3637774307487076,0.8123332204949314,1.2833206150584705e-06,1.9248642799674087e-06
all_candidates,3000,"3000,5000,8000,12000,20000,50000",6,3.1432069467815484,2.337587811971113,0.8109091522295622,1.2267423073095072e-06,2.0607239594738758e-06
all_candidates,5000,"5000,8000,12000,20000,50000",5,3.1432037942291977,2.390723204153871,0.8136508852336449,1.214385038768005e-06,2.0284573527540317e-06
all_candidates,8000,"8000,12000,20000,50000",4,3.143203866313238,2.392271096940305,0.8137084162530863,1.3549968600124598e-06,1.977962520438581e-06
count_independent_only,1700,"1700,3000,5000,8000,20000",5,3.143207859155301,2.3541992330780186,0.811715238785339,1.0298072837674143e-06,1.677572036840047e-06
count_independent_only,3000,"3000,5000,8000,20000",4,3.143214206180706,2.2971743281700516,0.8084815327975355,4.858640960873725e-07,6.760964534890945e-07
