N,record_count_refined,count_independent_test,j,L,n_j,n_j_over_N,conjectured_n_j_over_N,count_fraction_error,count_fraction_relative_error,gamma_j,effective_exponent_log_gamma_over_log_N,gamma_over_N_to_j_over_2,gamma_over_N_to_j,n_j_over_n_jplus1,pi_ratio_error
1700,True,True,1,6,125,0.07352941176470588,0.10849435127072644,-0.03496493950602056,-0.32227428521852153,44.00952538819898,0.5087672719883828,1.0673877747579203,0.025887956110705282,3.676470588235294,0.5348779346455008
1700,True,True,2,6,34,0.02,0.034534824604569136,-0.014534824604569136,-0.42087442953586346,513.9267834071542,0.8391716809658248,0.30230987259244363,0.00017782933681908449,3.090909090909091,-0.05068356268070229
1700,True,True,3,6,11,0.006470588235294118,0.010992776089257578,-0.00452218785396346,-0.41137814663419353,3656.241652480304,1.102953483745195,0.052162873792246205,7.441973646408109e-07,2.75,-0.3915926535897931
1700,True,True,4,6,4,0.002352941176470588,0.003499109305815475,-0.0011461681293448872,-0.32755996717220875,16281.463989040674,1.3037486601705854,0.005633724563681894,1.9493856621736658e-09,2.0,-1.1415926535897931
1700,True,True,5,6,2,0.001176470588235294,0.0011138010848787665,6.266950335652747e-05,0.056266333555734356,51612.272254628864,1.4588538912726559,0.00043314237753708647,3.6350331233799505e-12,2.0,-1.1415926535897931
1700,True,True,6,6,1,0.000588235294117647,0.00035453389655914277,0.00023370139755850424,0.6591792768664605,167438.20260154543,1.61706768330731,3.408064372105545e-05,6.936829578883666e-15,,
3000,True,True,0,6,2241,0.747,0.6816901138162093,0.06530988618379074,0.09580582857242223,1.0,0.0,1.0,1.0,8.178832116788321,5.037239463198528
3000,True,True,1,6,274,0.09133333333333334,0.10849435127072644,-0.017161017937393108,-0.15817429881276623,107.04458078332773,0.5836910872550347,1.9543577184570873,0.03568152692777591,3.859154929577465,0.7175622759876719
3000,True,True,2,6,71,0.023666666666666666,0.034534824604569136,-0.01086815793790247,-0.3147014082841051,1845.7860543961617,0.9393349041172354,0.615262018132054,0.0002050873393773513,3.227272727272727,0.08568007368293395
3000,True,True,3,6,22,0.007333333333333333,0.010992776089257578,-0.003659442755924245,-0.332895232852086,17510.655627026277,1.220349276376271,0.10656645648474511,6.485428010009732e-07,2.75,-0.3915926535897931
3000,True,True,4,6,8,0.0026666666666666666,0.003499109305815475,-0.0008324426391488086,-0.2379012961285032,112073.61571880718,1.45220802309195,0.012452623968756354,1.3836248854173726e-09,2.6666666666666665,-0.4749259869231266
3000,True,True,5,6,3,0.001,0.0011138010848787665,-0.00011380108487876652,-0.1021736164776257,562005.5463506441,1.6535922046936435,0.001140085611775048,2.312780026134338e-12,3.0,-0.14159265358979312
