N_min,point_count,limit,coefficient,exponent,rmse,max_abs_residual
800,9,3.143086537555657,3.628465084212349,0.8711859430173193,4.455301674665604e-05,6.631264430145833e-05
1000,8,3.1431330813616047,3.121691608112653,0.849967616138414,2.8629470801466084e-05,6.107056653359422e-05
1700,7,3.14320483388365,2.3637774307487076,0.8123332204949314,1.2833206150584705e-06,1.9248642799674087e-06
3000,6,3.1432069442745294,2.3376075148815114,0.8109104282491809,1.2267449148045588e-06,2.060031098594095e-06
5000,5,3.1432045538915094,2.3791910235537346,0.8130545356621761,1.2105214756564236e-06,1.909404144129212e-06
8000,4,3.14320483388365,2.3637774307487076,0.8123332204949314,1.3655110092924647e-06,1.9248642799674087e-06
